x,y,sigma
-1.814936492,5.81937374,2.94752468
-3.972315284,-0.890134884,14.12950005
2.310312985,4.513658719,5.131814223
-4.075592252,-0.837558381,14.42012538
0.856495372,3.533431369,4.365271394
-1.874233475,-4.286022091,4.638929493
-3.696805176,3.130917943,10.41919747
0.383404615,2.974110475,5.264581692
-3.96024075,-2.022020806,12.87322486
4.16536163,4.478966191,9.004130085
-1.262711095,5.672929133,2.402831615
5.481165708,2.853791177,14.25843251
-3.650158234,3.045147873,10.46786561
2.612921494,-2.765774847,8.454786234
-3.02661959,-2.559788275,9.777634853
-1.425160255,1.581060609,5.919044664
-2.146425438,-2.772537363,7.394815242
-3.95352753,-3.577826934,10.16613899
-2.519937174,4.101357092,6.13994186
2.015044056,3.434164264,6.147338894
5.691219211,-2.049923061,15.77045772
-6.197926441,-0.38840731,17.6830782
3.992168397,-1.194910539,13.93913979
-3.884591647,0.743444389,13.98617588
4.972927767,-2.23029061,14.49435293
0.675302827,-2.517059214,6.362872006
-5.571311684,0.200459615,17.14984055
5.215105614,0.449100395,16.66702352
0.280460645,4.556029196,2.636933792
-3.118906176,1.283154026,11.25068172
3.474328228,-2.949346216,10.23179778
3.859847311,-2.341386269,12.15353911
-2.115752755,-2.080322618,7.911184796
-2.296194962,0.449807126,6.051753658
1.37645469,-2.737466469,6.222715826
-4.06589419,4.751780627,8.349843545
-2.740754126,-4.753272834,5.647132904
-1.32059802,1.859284554,6.577404467
3.119616951,3.07172661,9.18259243
-3.140531493,0.672460542,11.41251439
4.104679867,1.055785883,14.32768761
-4.350435531,-1.315114772,14.61474415
2.229173758,-0.53060112,5.663846192
2.308449852,5.29727999,4.182684179
3.989372112,1.078528531,14.03255087
-2.747273354,0.976578687,9.649017508
-4.933745274,3.790321971,11.70737963
5.78792872,-1.097465191,16.92864271
-2.298879173,-4.141557118,5.631056991
-0.453476285,-3.621348385,3.958923574
4.630682183,3.8139241,11.10307665
-5.870804665,0.185730989,17.44755306
2.068739058,-1.047077108,6.07352502
-1.160787327,-2.18031274,6.729929947
-2.749445979,1.436736288,9.849022321
-1.468737777,3.181787081,5.629334052
5.680432358,-0.293554465,17.24459415
0.059890623,-2.162488798,7.38755253
-1.456152791,2.833254788,6.166424392
-3.698949344,3.553484836,9.657711229
-2.246819883,-1.030133311,7.0417267
-0.632871915,-5.685305368,1.900580196
-2.363626421,1.501025831,8.396729324
-3.020155308,-2.617511118,9.675433111
3.241081155,-0.575968074,11.84892141
2.72233811,-3.457337301,7.610045952
-4.632939826,4.090089749,10.60772518
-0.3945467,2.696215061,5.963554981
2.908697928,-4.956485903,5.703630258
-4.146439485,0.202191896,14.84993225
-4.504618368,0.837472451,15.33904022
1.293332536,1.672504312,6.133539789
3.344352515,2.439140827,10.76102218
-1.689473297,4.888362253,3.622968166
4.331766246,-0.451957931,15.20083122
5.514197349,2.927983948,14.18247225
-0.330593624,4.193507341,3.064615013
-1.503182895,1.752480789,6.499481925
-1.592470548,-2.009437894,6.931428502
3.355074328,2.321896149,10.96316737
2.759980485,0.431529037,9.357204707
-1.516624252,3.715574843,4.856999837
4.498016681,-1.331165543,14.88574256
2.139009273,-1.447813229,7.461981409
-0.331103108,-2.424291204,6.689853477
-1.217133758,-1.808395608,6.477170659
-1.837527508,-1.645104033,6.884376014
0.870117063,3.739428586,4.041916418
-1.038306455,-3.817833376,4.086721199
2.180159857,5.262366933,4.004267146
2.443139287,-1.924748544,8.810268768
5.270154813,2.014564009,15.26531744
-1.627490745,3.294233821,5.683753998
1.319715979,-1.734974106,6.322587925
3.779774892,3.620050889,9.714258185
0.000795348,-2.790642412,5.717907839
-2.151671856,0.373191803,4.653189503
-1.477769244,4.312255003,3.974911655
-4.36690379,-3.271140293,11.58656212
1.161806842,4.824827542,3.001057568
